"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",1,8,0.03,64,0.02402,1.18782,"km1",19347,19296,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",2,8,0.03,64,0.0243435,1.20743,"km1",19827,19827,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",3,8,0.03,64,0.0268006,1.21735,"km1",18570,18570,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",4,8,0.03,64,0.0276575,1.20177,"km1",19062,19062,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",5,8,0.03,64,0.0239413,1.15952,"km1",22038,21960,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",1,16,0.03,64,0.0126454,3.65101,"km1",312285,293676,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",2,16,0.03,64,0.0100844,3.7822,"km1",321528,302637,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",3,16,0.03,64,0.0125464,3.66542,"km1",319959,301218,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",4,16,0.03,64,0.00745752,3.86023,"km1",325659,306909,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",5,16,0.03,64,0.0154096,3.60601,"km1",316989,298242,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",1,2,0.03,64,0,2.48674,"km1",59232,59232,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",2,2,0.03,64,0,2.40706,"km1",59457,59457,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",3,2,0.03,64,0,2.53705,"km1",61644,61644,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",4,2,0.03,64,0,2.43022,"km1",59457,59457,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",5,2,0.03,64,0,2.36776,"km1",59394,59394,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",1,64,0.03,64,0.029918,6.6227,"km1",598968,536259,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",2,64,0.03,64,0.029962,6.90015,"km1",594579,532185,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",3,64,0.03,64,0.029918,6.67284,"km1",590313,529335,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",4,64,0.03,64,0.029984,6.91195,"km1",597192,535449,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",5,64,0.03,64,0.029962,6.9843,"km1",595908,533772,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",1,8,0.03,64,0.00782847,3.08993,"km1",212505,204276,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",2,8,0.03,64,0.00220648,3.19731,"km1",212391,204243,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",3,8,0.03,64,0.0122799,3.1184,"km1",211035,202800,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",4,8,0.03,64,0.00164593,3.01919,"km1",223722,215343,"no"
"Mt-KaHyPar Fast","Bump_2911.mtx.hgr","no",5,8,0.03,64,0.00799334,3.04926,"km1",220398,211776,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",1,16,0.03,64,0.0299975,19.354,"km1",2890157,2881414,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",2,16,0.03,64,0.0299975,18.304,"km1",3015275,3004841,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",3,16,0.03,64,0.0299975,18.88,"km1",2930887,2921913,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",4,16,0.03,64,0.0299975,21.9912,"km1",3011299,3004994,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",5,16,0.03,64,0.0299975,19.0162,"km1",2937182,2928003,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",1,2,0.03,64,0.0112894,8.19068,"km1",9237,9237,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",2,2,0.03,64,0.00764511,6.61844,"km1",10899,10899,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",3,2,0.03,64,0.0105561,6.33426,"km1",10985,10985,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",4,2,0.03,64,0.000182789,7.68783,"km1",10262,10262,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",5,2,0.03,64,0.0109432,8.45143,"km1",10984,10984,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",1,64,0.03,64,0.0299946,35.6417,"km1",4671425,4646527,"no"
