"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,16,0.03,16,0.0276486,4.01395,0.585509,1.25676,0.184733,0.837271,0.101296,0.561352,"km1",28650,28578,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",4,16,0.03,16,0.0271764,3.97021,0.583138,1.26005,0.186618,0.843939,0.0990291,0.587108,"km1",28680,28656,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",5,16,0.03,16,0.0294149,4.10295,0.589194,1.26533,0.173367,0.841309,0.100017,0.595077,"km1",29466,29268,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,2,0.03,16,0.0295159,3.18218,0.587393,1.32954,0.00674659,0.885592,0.0185013,0.0517633,"km1",5046,5046,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,2,0.03,16,0.0241426,3.1693,0.578791,1.33209,0.00615226,0.893684,0.0147528,0.0385877,"km1",4326,4326,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,2,0.03,16,0.00325719,3.16773,0.582747,1.30441,0.00631562,0.895135,0.016445,0.0441295,"km1",5022,5022,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",4,2,0.03,16,0.027026,3.18361,0.583639,1.32821,0.00677291,0.901357,0.0151192,0.0415912,"km1",4629,4629,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",5,2,0.03,16,0.027391,3.24203,0.58361,1.33059,0.00652557,0.900579,0.0202434,0.0575711,"km1",6498,6498,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,64,0.03,16,0.0299384,8.42519,0.584688,1.2206,1.05327,0.845793,0.209154,2.34848,"km1",65799,64893,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,64,0.03,16,0.0296586,8.04364,0.579011,1.21978,1.07294,0.850669,0.222287,2.59282,"km1",66228,65205,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,64,0.03,16,0.0298685,8.86878,0.589902,1.22323,1.05664,0.850629,0.215858,2.56454,"km1",66552,65853,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",4,64,0.03,16,0.0297985,9.26222,0.587966,1.22244,1.07383,0.849948,0.210395,2.66795,"km1",68136,67356,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",5,64,0.03,16,0.0297985,8.35758,0.582305,1.23753,1.05693,0.844139,0.211081,2.53872,"km1",66576,65496,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,8,0.03,16,0.0293976,3.6041,0.588033,1.29002,0.105856,0.870601,0.0559855,0.257823,"km1",18051,18051,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,8,0.03,16,0.0260836,3.55638,0.580171,1.28349,0.089013,0.858774,0.0554776,0.266507,"km1",17475,17475,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,8,0.03,16,0.0294763,3.56408,0.579359,1.27733,0.0968694,0.859762,0.0627228,0.288695,"km1",19491,19443,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",4,8,0.03,16,0.0298698,3.58935,0.585428,1.29977,0.0899062,0.861465,0.0546066,0.289615,"km1",18720,18693,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",5,8,0.03,16,0.0171384,3.45592,0.580174,1.27103,0.0931698,0.863361,0.0604485,0.260827,"km1",17373,17370,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",1,16,0.03,16,0.0299785,25.0939,1.70912,3.86703,0.683414,2.88524,1.30964,10.7972,"km1",304320,286629,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",2,16,0.03,16,0.029907,28.2535,1.6866,3.8811,0.702727,2.84282,1.34315,11.1444,"km1",308154,290052,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",3,16,0.03,16,0.0299455,25.2055,1.69122,3.8805,0.697237,2.85833,1.27327,10.2659,"km1",297339,279729,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",4,16,0.03,16,0.0299785,26.0777,1.7078,3.92326,0.712063,2.92125,1.32177,10.5755,"km1",296988,279264,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",5,16,0.03,16,0.029962,27.4648,1.69262,3.8812,0.68525,2.84686,1.34735,11.2305,"km1",307110,288783,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",1,2,0.03,16,0,11.8392,1.70869,4.0563,0.0490484,2.98052,0.269546,1.70859,"km1",59187,59187,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",2,2,0.03,16,0,11.592,1.70112,4.02818,0.0468286,2.96378,0.25125,1.55244,"km1",59097,59097,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",3,2,0.03,16,0,12.4278,1.69742,4.13877,0.0409774,3.05484,0.276042,1.69221,"km1",59262,59262,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",4,2,0.03,16,0,11.7647,1.69451,4.04776,0.0475468,2.90147,0.281908,1.45729,"km1",59085,59085,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",5,2,0.03,16,0,11.8336,1.71969,4.01673,0.0562728,2.9528,0.256121,1.59765,"km1",59457,59457,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",1,64,0.03,16,0.029962,58.0312,1.71945,3.68257,2.57056,2.83604,2.0585,32.6345,"km1",581970,521394,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",2,64,0.03,16,0.029962,63.9759,1.68992,3.68184,2.6853,2.7529,1.93923,32.2705,"km1",575928,515589,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",3,64,0.03,16,0.029962,60.1551,1.71403,3.69685,2.58959,2.83116,2.14322,33.9571,"km1",578142,518301,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",4,64,0.03,16,0.029962,57.9476,1.69759,3.65586,2.62959,2.80458,2.01401,32.6649,"km1",580557,520872,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",5,64,0.03,16,0.029962,69.8177,1.69761,3.66418,2.72957,2.78776,2.03774,32.3987,"km1",576372,516309,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",1,8,0.03,16,0.0298795,19.2151,1.72366,3.91238,0.338711,2.83531,0.942944,6.52705,"km1",202143,194118,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",2,8,0.03,16,0.0247769,20.4856,1.70671,3.95536,0.364154,2.90013,0.958485,6.83111,"km1",210792,202602,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",3,8,0.03,16,0.029973,19.5873,1.70646,3.87773,0.352485,2.81085,0.921546,6.61787,"km1",217101,209097,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",4,8,0.03,16,0.0288491,19.431,1.67903,3.94457,0.354992,2.89219,0.992813,6.58527,"km1",208776,200592,"no"
"Mt-KaHyPar-Q","Bump_2911.mtx.hgr","no",5,8,0.03,16,0.0299867,18.6892,1.68955,3.9489,0.336512,2.83986,0.905276,6.27542,"km1",204342,196341,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",1,16,0.03,16,0.0299975,716.248,13.345,61.7471,0.360152,210.003,65.6836,288.814,"km1",2849247,2841362,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",2,16,0.03,16,0.0299975,645.081,6.61805,59.0432,0.353096,186.599,65.1813,261.872,"km1",2862469,2853981,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",3,16,0.03,16,0.0299975,526.716,19.3679,53.7186,0.345436,183.614,40.7757,157.041,"km1",2874434,2862697,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",4,16,0.03,16,0.0299975,585.995,32.1146,61.9889,0.370007,210.114,53.0144,165.186,"km1",2861744,2849589,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",5,16,0.03,16,0.0299975,639.989,11.2455,70.2965,0.32236,233.157,58.0784,179.673,"km1",2846138,2837530,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",1,2,0.03,16,0.00818448,591.106,7.08634,141.05,9.36487,349.259,29.3704,40.4869,"km1",10137,10137,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",2,2,0.03,16,0.0101426,647.725,5.23138,162.048,20.2832,377.464,24.4323,29.7505,"km1",11087,11087,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",3,2,0.03,16,0.0109036,543.016,8.3294,129.332,5.57932,341.198,15.8429,24.1098,"km1",10112,10112,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",4,2,0.03,16,0.0299997,613.233,32.4212,126.567,23.8908,313.32,21.7708,61.3836,"km1",56901,56901,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",5,2,0.03,16,0.0299997,857.648,11.1965,187.852,16.1747,430.995,38.8499,80.9891,"km1",54606,54606,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",1,64,0.03,16,0.0299946,1269.88,9.16658,30.2735,1.93184,108.111,51.6044,862.712,"km1",4683384,4654896,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",2,64,0.03,16,0.0299946,1347.38,4.30763,30.8868,2.00911,96.4214,59.7618,943.854,"km1",4679731,4654193,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",3,64,0.03,16,0.0299946,1275.37,17.7545,33.9029,2.07188,122.449,74.2015,803.193,"km1",4683922,4659967,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",4,64,0.03,16,0.0299946,1318.95,34.717,30.6956,2.15694,98.174,65.6542,875.663,"km1",4674296,4655622,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",5,64,0.03,16,0.0299946,1257.36,8.20611,31.9131,2.11844,105.831,75.6857,812.411,"km1",4678532,4660698,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",1,8,0.03,16,0.0299989,712.681,54.9757,92.4107,0.189037,302.948,75.2915,128.826,"km1",1765551,1762070,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",2,8,0.03,16,0.0299989,638.841,8.76607,130.322,9.44232,288.683,40.1113,87.6392,"km1",1772153,1767791,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",3,8,0.03,16,0.0299989,672.284,8.60064,99.3908,0.500826,311.184,66.7746,134.489,"km1",1766547,1761860,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",4,8,0.03,16,0.0299989,652.27,72.3474,101.958,5.36454,242.94,43.5133,132.807,"km1",1759154,1755583,"no"
"Mt-KaHyPar-Q","circuit5M.mtx.hgr","no",5,8,0.03,16,0.0299989,734.161,9.77396,117.677,0.167916,338.444,78.2241,152.908,"km1",1872801,1869364,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",1,16,0.03,16,0.0268848,17.9192,0.757637,2.17372,0.576801,2.37145,1.26153,7.70008,"km1",138479,135921,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",2,16,0.03,16,0.0275905,18.1029,0.765046,2.23001,0.553413,2.39509,1.29097,7.90535,"km1",140733,138125,"no"
