graph,k,epsilon,num_threads,min_km1,avg_km1,min_cut,avg_cut,min_imbalance,avg_imbalance,min_total_time,avg_total_time,avg_time,timeout,failed,infeasible,invalid,instance,algo
dac2012_superblue12.hgr,2,0.03,64,4817,5121,4817,5121,0.00550958,0.013681045,0.811669,0.87068075,0.87068075,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue12.hgr,2,0.03,64,4669,4669,4669,4669,0.0244688,0.0244688,2.96886,2.96886,2.96886,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue12.hgr,8,0.03,64,16621,17225,16537,17020.75,0.0157407,0.021867975,1.44752,1.5065275,1.5065275,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue12.hgr,8,0.03,64,16789,16789,16665,16665,0.022707,0.022707,5.49973,5.49973,5.49973,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue12.hgr,16,0.03,64,25768,26621,24620,25894,0.0197657,0.0255183,1.92825,2.030395,2.030395,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue12.hgr,16,0.03,64,26330,26330,24475,24475,0.0219577,0.0219577,8.09122,8.09122,8.09122,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue12.hgr,64,0.03,64,66977,68112.2,57110,58077.8,0.0257592,0.02886016,3.48343,3.536518,3.536518,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue12.hgr,64,0.03,64,67382,67382,58571,58571,0.029524,0.029524,20.8566,20.8566,20.8566,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue14.hgr,2,0.03,64,3933,4025.33333333333,3933,4025.33333333333,0.0027362,0.0113886833333333,0.524428,0.544756666666667,0.544756666666667,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue14.hgr,2,0.03,64,3940,3940,3940,3940,0.0251584,0.0251584,2.05088,2.05088,2.05088,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue14.hgr,8,0.03,64,12535,13065.5,12010,12654.5,0.013367,0.020129775,0.88065,0.9410025,0.9410025,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue14.hgr,8,0.03,64,13109,13109,12731,12731,0.0234493,0.0234493,3.60896,3.60896,3.60896,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue14.hgr,16,0.03,64,19245,19838,18006,18597.6666666667,0.0217877,0.0257190666666667,1.13265,1.18685666666667,1.18685666666667,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue14.hgr,16,0.03,64,20058,20058,18883,18883,0.0277989,0.0277989,3.86759,3.86759,3.86759,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue14.hgr,64,0.03,64,41995,42807.6,35886,36408,0.0289135,0.02962364,1.78173,1.879288,1.879288,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue14.hgr,64,0.03,64,41792,41792,35300,35300,0.0293193,0.0293193,8.25226,8.25226,8.25226,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue16.hgr,2,0.03,64,7823,7995.66666666667,7823,7995.66666666667,0,0,0.586523,0.602223666666667,0.602223666666667,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue16.hgr,2,0.03,64,8363,8363,8363,8363,0,0,1.95986,1.95986,1.95986,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue16.hgr,8,0.03,64,18263,18311.6666666667,17413,17561.3333333333,0.00114557,0.0017489,0.876463,0.909363666666667,0.909363666666667,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue16.hgr,8,0.03,64,17738,17738,17016,17016,0.00245151,0.00245151,2.55739,2.55739,2.55739,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue16.hgr,16,0.03,64,23184,23574.6666666667,21827,22195.3333333333,0.00877494,0.0137848133333333,1.03599,1.07996333333333,1.07996333333333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue16.hgr,16,0.03,64,21720,21720,20672,20672,0.00320755,0.00320755,3.20734,3.20734,3.20734,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue16.hgr,64,0.03,64,35565,35936.8,32570,32870.6,0.026118,0.02846408,1.60109,1.682144,1.682144,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue16.hgr,64,0.03,64,34842,34842,32023,32023,0.0292339,0.0292339,7.82954,7.82954,7.82954,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue19.hgr,2,0.03,64,1413,1417.8,1413,1417.8,0.0182705,0.02067594,0.4597,0.4719292,0.4719292,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue19.hgr,2,0.03,64,1413,1413,1413,1413,0.0194533,0.0194533,1.94333,1.94333,1.94333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue19.hgr,8,0.03,64,9418,9824.8,9308,9680.2,0.0212062,0.02571082,0.808665,0.8490484,0.8490484,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue19.hgr,8,0.03,64,9747,9747,9562,9562,0.0299949,0.0299949,3.88106,3.88106,3.88106,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
